Gender,Sector,Age,Vacc Period,Epi Day,Cohort,N_person,Rate_per_1K
female,Arab,70-79,FebA,11/08/2021,2nd,4366,0.458085204
female,Arab,70-79,FebB,11/08/2021,2nd,1691,1.182732111
female,Arab,70-79,FebB,11/08/2021,12+,<5,0
female,Arab,80+,JanB,11/08/2021,2nd,1057,0
female,Arab,80+,JanB,11/08/2021,12+,<5,0
female,Arab,80+,FebA,11/08/2021,2nd,1739,2.300172513
female,Arab,80+,FebA,11/08/2021,12+,<5,0
female,Arab,80+,FebB,11/08/2021,2nd,647,0
female,ultra-Orthodox Jews,60-69,JanB,11/08/2021,2nd,2070,1.93236715
female,ultra-Orthodox Jews,60-69,JanB,11/08/2021,12+,9,0
female,ultra-Orthodox Jews,60-69,FebA,11/08/2021,2nd,2300,1.304347826
female,ultra-Orthodox Jews,60-69,FebA,11/08/2021,12+,<5,0
female,ultra-Orthodox Jews,60-69,FebB,11/08/2021,2nd,814,3.685503686
female,ultra-Orthodox Jews,70-79,JanB,11/08/2021,2nd,1470,2.040816327
female,ultra-Orthodox Jews,70-79,JanB,11/08/2021,12+,18,0
female,ultra-Orthodox Jews,70-79,FebA,11/08/2021,2nd,1622,1.233045623
female,ultra-Orthodox Jews,70-79,FebA,11/08/2021,12+,<5,0
female,ultra-Orthodox Jews,70-79,FebB,11/08/2021,2nd,460,0
female,ultra-Orthodox Jews,80+,JanB,11/08/2021,2nd,1024,0.9765625
female,ultra-Orthodox Jews,80+,JanB,11/08/2021,12+,<5,0
female,ultra-Orthodox Jews,80+,FebA,11/08/2021,2nd,1076,0.92936803
female,ultra-Orthodox Jews,80+,FebA,11/08/2021,12+,<5,0
female,ultra-Orthodox Jews,80+,FebB,11/08/2021,2nd,239,0
male,General Jewish,60-69,JanB,11/08/2021,2nd,39907,1.277971283
male,General Jewish,60-69,JanB,11/08/2021,12+,905,0
male,General Jewish,60-69,FebA,11/08/2021,2nd,37567,0.612239465
male,General Jewish,60-69,FebA,11/08/2021,12+,85,0
male,General Jewish,60-69,FebB,11/08/2021,2nd,9593,1.146669446
male,General Jewish,60-69,FebB,11/08/2021,12+,7,0
male,General Jewish,70-79,JanB,11/08/2021,2nd,25311,0.987712852
male,General Jewish,70-79,JanB,11/08/2021,12+,766,0
male,General Jewish,70-79,FebA,11/08/2021,2nd,19817,0.605540697
male,General Jewish,70-79,FebA,11/08/2021,12+,54,0
male,General Jewish,70-79,FebB,11/08/2021,2nd,4112,0.729571984
male,General Jewish,70-79,FebB,11/08/2021,12+,6,0
male,General Jewish,80+,JanB,11/08/2021,2nd,13226,1.285347044
male,General Jewish,80+,JanB,11/08/2021,12+,249,0
male,General Jewish,80+,FebA,11/08/2021,2nd,11924,1.50956055
male,General Jewish,80+,FebA,11/08/2021,12+,19,0
male,General Jewish,80+,FebB,11/08/2021,2nd,2258,0.442869796
male,General Jewish,80+,FebB,11/08/2021,12+,<5,0
male,Arab,60-69,JanB,11/08/2021,2nd,4356,0.229568411
male,Arab,60-69,JanB,11/08/2021,12+,16,0
male,Arab,60-69,FebA,11/08/2021,2nd,7408,0
male,Arab,60-69,FebA,11/08/2021,12+,<5,0
male,Arab,60-69,FebB,11/08/2021,2nd,3221,0.931387768
male,Arab,70-79,JanB,11/08/2021,2nd,1913,2.090956613
male,Arab,70-79,JanB,11/08/2021,12+,12,0
male,Arab,70-79,FebA,11/08/2021,2nd,3458,0.578368999
male,Arab,70-79,FebA,11/08/2021,12+,<5,0
male,Arab,70-79,FebB,11/08/2021,2nd,1219,0
male,Arab,80+,JanB,11/08/2021,2nd,800,0
male,Arab,80+,FebA,11/08/2021,2nd,1363,0.733675715
male,Arab,80+,FebB,11/08/2021,2nd,417,0
male,ultra-Orthodox Jews,60-69,JanB,11/08/2021,2nd,2025,0.49382716
male,ultra-Orthodox Jews,60-69,JanB,11/08/2021,12+,29,0
male,ultra-Orthodox Jews,60-69,FebA,11/08/2021,2nd,1969,1.523616049
male,ultra-Orthodox Jews,60-69,FebA,11/08/2021,12+,<5,0
male,ultra-Orthodox Jews,60-69,FebB,11/08/2021,2nd,676,0
male,ultra-Orthodox Jews,70-79,JanB,11/08/2021,2nd,1239,1.614205004
male,ultra-Orthodox Jews,70-79,JanB,11/08/2021,12+,22,0
male,ultra-Orthodox Jews,70-79,FebA,11/08/2021,2nd,1113,0.898472597
male,ultra-Orthodox Jews,70-79,FebA,11/08/2021,12+,<5,0
male,ultra-Orthodox Jews,70-79,FebB,11/08/2021,2nd,291,0
male,ultra-Orthodox Jews,80+,JanB,11/08/2021,2nd,642,0
male,ultra-Orthodox Jews,80+,JanB,11/08/2021,12+,12,0
male,ultra-Orthodox Jews,80+,FebA,11/08/2021,2nd,623,1.605136437
male,ultra-Orthodox Jews,80+,FebA,11/08/2021,12+,<5,0
male,ultra-Orthodox Jews,80+,FebB,11/08/2021,2nd,132,0
female,General Jewish,60-69,JanB,12/08/2021,2nd,41486,0.915971653
female,General Jewish,60-69,JanB,12/08/2021,12+,1682,0
female,General Jewish,60-69,FebA,12/08/2021,2nd,42965,0.814616548
female,General Jewish,60-69,FebA,12/08/2021,12+,149,0
female,General Jewish,60-69,FebB,12/08/2021,2nd,11570,0.864304235
female,General Jewish,60-69,FebB,12/08/2021,12+,<5,0
female,General Jewish,70-79,JanB,12/08/2021,2nd,25687,0.62288317
female,General Jewish,70-79,JanB,12/08/2021,12+,1482,0
female,General Jewish,70-79,FebA,12/08/2021,2nd,25406,0.708494057
female,General Jewish,70-79,FebA,12/08/2021,12+,115,8.695652174
female,General Jewish,70-79,FebB,12/08/2021,2nd,5994,0.333667
female,General Jewish,70-79,FebB,12/08/2021,12+,<5,0
female,General Jewish,80+,JanB,12/08/2021,2nd,17024,0.587406015
female,General Jewish,80+,JanB,12/08/2021,12+,433,0
female,General Jewish,80+,FebA,12/08/2021,2nd,17818,0.617353238
female,General Jewish,80+,FebA,12/08/2021,12+,70,0
female,General Jewish,80+,FebB,12/08/2021,2nd,3889,0.25713551
female,General Jewish,80+,FebB,12/08/2021,12+,<5,0
female,Arab,60-69,JanB,12/08/2021,2nd,3325,0.30075188
female,Arab,60-69,JanB,12/08/2021,12+,27,0
female,Arab,60-69,FebA,12/08/2021,2nd,7767,0.128749839
female,Arab,60-69,FebA,12/08/2021,12+,11,0
female,Arab,60-69,FebB,12/08/2021,2nd,3353,0
female,Arab,60-69,FebB,12/08/2021,12+,<5,0
female,Arab,70-79,JanB,12/08/2021,2nd,1809,0.552791598
female,Arab,70-79,JanB,12/08/2021,12+,11,0
female,Arab,70-79,FebA,12/08/2021,2nd,4129,0.726568176
female,Arab,70-79,FebA,12/08/2021,12+,7,0
female,Arab,70-79,FebB,12/08/2021,2nd,1639,0
female,Arab,70-79,FebB,12/08/2021,12+,<5,0
female,Arab,80+,JanB,12/08/2021,2nd,992,1.008064516
female,Arab,80+,JanB,12/08/2021,12+,<5,0
female,Arab,80+,FebA,12/08/2021,2nd,1597,0.626174076
female,Arab,80+,FebA,12/08/2021,12+,<5,0
female,Arab,80+,FebB,12/08/2021,2nd,627,0
female,ultra-Orthodox Jews,60-69,JanB,12/08/2021,2nd,1850,0.540540541
female,ultra-Orthodox Jews,60-69,JanB,12/08/2021,12+,13,0
female,ultra-Orthodox Jews,60-69,FebA,12/08/2021,2nd,2116,1.417769376
female,ultra-Orthodox Jews,60-69,FebA,12/08/2021,12+,5,0
female,ultra-Orthodox Jews,60-69,FebB,12/08/2021,2nd,780,0
female,ultra-Orthodox Jews,70-79,JanB,12/08/2021,2nd,1248,2.403846154
female,ultra-Orthodox Jews,70-79,JanB,12/08/2021,12+,20,0
female,ultra-Orthodox Jews,70-79,FebA,12/08/2021,2nd,1434,0.69735007
female,ultra-Orthodox Jews,70-79,FebA,12/08/2021,12+,<5,0
female,ultra-Orthodox Jews,70-79,FebB,12/08/2021,2nd,433,0
female,ultra-Orthodox Jews,80+,JanB,12/08/2021,2nd,866,4.618937644
female,ultra-Orthodox Jews,80+,JanB,12/08/2021,12+,6,0
female,ultra-Orthodox Jews,80+,FebA,12/08/2021,2nd,928,0
female,ultra-Orthodox Jews,80+,FebA,12/08/2021,12+,<5,0
female,ultra-Orthodox Jews,80+,FebB,12/08/2021,2nd,220,0
male,General Jewish,60-69,JanB,12/08/2021,2nd,33869,0.85624022
male,General Jewish,60-69,JanB,12/08/2021,12+,2211,0
male,General Jewish,60-69,FebA,12/08/2021,2nd,34021,0.676053026
male,General Jewish,60-69,FebA,12/08/2021,12+,199,0
male,General Jewish,60-69,FebB,12/08/2021,2nd,9053,1.104606208
male,General Jewish,60-69,FebB,12/08/2021,12+,12,0
male,General Jewish,70-79,JanB,12/08/2021,2nd,20314,0.639952742
male,General Jewish,70-79,JanB,12/08/2021,12+,1923,0
male,General Jewish,70-79,FebA,12/08/2021,2nd,17343,0.980222568
male,General Jewish,70-79,FebA,12/08/2021,12+,123,0
male,General Jewish,70-79,FebB,12/08/2021,2nd,3809,0.787608296
male,General Jewish,70-79,FebB,12/08/2021,12+,8,0
male,General Jewish,80+,JanB,12/08/2021,2nd,10700,0.747663551
male,General Jewish,80+,JanB,12/08/2021,12+,581,0
male,General Jewish,80+,FebA,12/08/2021,2nd,10388,0.962649211
male,General Jewish,80+,FebA,12/08/2021,12+,54,0
male,General Jewish,80+,FebB,12/08/2021,2nd,2134,0.468603561
male,General Jewish,80+,FebB,12/08/2021,12+,<5,0
male,Arab,60-69,JanB,12/08/2021,2nd,3921,0.25503698
male,Arab,60-69,JanB,12/08/2021,12+,61,0
male,Arab,60-69,FebA,12/08/2021,2nd,6952,0.287686997
male,Arab,60-69,FebA,12/08/2021,12+,11,0
male,Arab,60-69,FebB,12/08/2021,2nd,3086,0
male,Arab,60-69,FebB,12/08/2021,12+,<5,0
male,Arab,70-79,JanB,12/08/2021,2nd,1677,0.596302922
male,Arab,70-79,JanB,12/08/2021,12+,29,0
male,Arab,70-79,FebA,12/08/2021,2nd,3184,0.628140704
male,Arab,70-79,FebA,12/08/2021,12+,9,0
male,Arab,70-79,FebB,12/08/2021,2nd,1163,0
male,Arab,80+,JanB,12/08/2021,2nd,715,0
male,Arab,80+,JanB,12/08/2021,12+,8,0
male,Arab,80+,FebA,12/08/2021,2nd,1254,0.797448166
male,Arab,80+,FebA,12/08/2021,12+,<5,0
male,Arab,80+,FebB,12/08/2021,2nd,401,0
male,ultra-Orthodox Jews,60-69,JanB,12/08/2021,2nd,1791,2.233389168
male,ultra-Orthodox Jews,60-69,JanB,12/08/2021,12+,35,0
male,ultra-Orthodox Jews,60-69,FebA,12/08/2021,2nd,1816,0.550660793
male,ultra-Orthodox Jews,60-69,FebA,12/08/2021,12+,<5,0
male,ultra-Orthodox Jews,60-69,FebB,12/08/2021,2nd,651,3.072196621
